seed,train_acc,val_acc,ce,events,mean_p,outcome
1,0.671875,0.570000,0.755023,0,1.000000,stuck
2,0.828125,0.685000,1.149724,1,1.125000,stuck
3,0.390625,0.420000,0.692649,0,1.000000,stuck
5,0.656250,0.630000,0.687107,1,1.125000,stuck
7,0.562500,0.505000,0.697526,0,1.000000,stuck
11,0.515625,0.525000,0.693266,0,1.000000,stuck
13,0.656250,0.565000,0.720449,0,1.000000,stuck
17,0.500000,0.445000,0.706802,0,1.000000,stuck
19,0.609375,0.525000,0.726831,3,1.375000,stuck
23,0.515625,0.475000,0.693309,0,1.000000,stuck
