seed,train_acc,val_acc,ce,events,p0,p1,p2,p3,N0,N1,N2,N3,outcome
1,1.000000,0.990000,0.025727,0,1,1,1,1,0.149904,1.090264,2.194902,0.617340,solved
2,1.000000,1.000000,0.003057,1,1,2,1,1,2.163018,0.151144,1.384889,0.796278,solved
3,1.000000,0.990000,0.009761,3,2,2,2,1,1.345247,0.015569,2.316098,1.814510,solved
5,1.000000,1.000000,0.006484,2,1,2,2,1,2.288575,1.387438,0.091863,2.037709,solved
7,1.000000,1.000000,0.001554,0,1,1,1,1,0.849155,0.382953,0.014257,0.362424,solved
11,1.000000,1.000000,0.000748,0,1,1,1,1,0.948212,0.820909,1.884237,0.334873,solved
13,1.000000,1.000000,0.000629,1,1,1,1,2,1.654730,1.212996,0.319528,1.184657,solved
17,1.000000,1.000000,0.001421,1,1,1,1,2,0.614848,2.242560,1.445819,1.863576,solved
19,1.000000,1.000000,0.001476,2,2,2,1,1,0.803922,1.039480,1.629030,1.829209,solved
23,1.000000,1.000000,0.000404,0,1,1,1,1,0.446100,0.824843,0.596847,0.123666,solved
