seed,epoch,token,prevP,newP,normBefore       ,normAfter       ,sq0_at          ,sq1_at           ,sq2_at,sq3_at
1   ,29   ,0    ,1    ,2   ,-2.15877848e-02  ,2.94094678e-01  ,4.16593256e-01  ,-1.72841978e-01,-4.55823014e-01,-1.31291488e-01
1   ,36   ,1    ,1    ,2   ,-2.74206255e-03  ,3.45719667e-01  ,4.86180449e-01  ,-1.84311139e-01,3.71273773e-01,3.67749743e-01
1   ,97   ,0    ,2    ,3   ,-1.22944015e-03  ,2.94094678e-01  ,8.57296891e-02  ,-4.39260992e-03,-2.18466079e-02,-9.01168158e-02
1   ,236  ,0    ,3    ,4   ,-1.01271698e-04  ,2.94094678e-01  ,7.99067204e-02  ,-2.07605723e-02,-7.85950249e-02,-2.72062325e-02
1   ,1596 ,0    ,4    ,4   ,-1.15580650e-06  ,2.94094678e-01  ,5.93909442e-02  ,-1.74018725e-02,-4.90258506e-02,-3.77853305e-02
3   ,20   ,1    ,1    ,2   ,-1.48675824e-02  ,1.86864079e-01  ,1.79567509e-01  ,3.62576086e-04,1.42253878e-01,-1.63939130e-01
3   ,51   ,1    ,2    ,3   ,-7.47241179e-03  ,1.86864079e-01  ,2.93890233e-01  ,1.54685919e-02,3.06076515e-01,-2.00081299e-02
3   ,124  ,1    ,3    ,4   ,-2.68867349e-03  ,1.86864079e-01  ,2.59803361e-01  ,2.91678946e-02,1.14201656e-01,-2.40821942e-01
3   ,851  ,1    ,4    ,4   ,-3.60920917e-05  ,1.86864079e-01  ,1.59635500e-01  ,3.06715968e-02,1.52382608e-01,-5.69198782e-02
3   ,1596 ,1    ,4    ,4   ,-2.62907142e-04  ,1.86864079e-01  ,2.47792274e-01  ,3.04934107e-02,2.44051508e-01,-5.50692995e-02
13  ,18   ,1    ,1    ,2   ,-1.57458873e-03  ,2.32415614e-01  ,2.84598448e-01  ,-1.49928108e-01,2.79362002e-01,-1.64335555e-01
13  ,52   ,1    ,2    ,3   ,-4.36625156e-03  ,2.32415614e-01  ,1.72709476e-01  ,-2.41758369e-02,1.86344058e-01,-7.42815932e-03
13  ,277  ,1    ,3    ,4   ,-5.57954978e-02  ,2.32415614e-01  ,4.33127859e-02  ,-8.07725015e-01,8.42261277e-01,-2.62132678e-02
13  ,699  ,1    ,4    ,4   ,-4.99014769e-05  ,2.32415614e-01  ,1.30675182e-01  ,-5.07190823e-02,1.38978578e-01,-1.95776597e-02
13  ,1143 ,1    ,4    ,4   ,-4.61986516e-05  ,2.32415614e-01  ,1.33042620e-01  ,-5.04787579e-02,1.41108821e-01,-1.95689277e-02
13  ,1604 ,1    ,4    ,4   ,-8.21811039e-06  ,2.32415614e-01  ,1.37071006e-01  ,-4.99516442e-02,1.44601012e-01,-1.95548714e-02
23  ,23   ,0    ,1    ,2   ,-9.02483945e-03  ,3.03551342e-01  ,2.90390044e-01  ,-1.08550159e-01,-3.18330017e-01,-6.16470143e-02
23  ,114  ,0    ,2    ,3   ,-1.13597439e-05  ,3.03551342e-01  ,1.70862320e-02  ,-1.86613893e-02,-1.24321566e-03,-2.54951158e-02
23  ,284  ,0    ,3    ,4   ,-2.97166657e-04  ,3.03551342e-01  ,7.49631476e-02  ,-1.56852311e-01,-1.73083941e-01,-2.36904372e-02
